Name,Year,Global_Sales
Grand Theft Auto V,2013.0,21.4
Grand Theft Auto: San Andreas,2004.0,20.81
Grand Theft Auto V,2013.0,16.38
Grand Theft Auto: Vice City,2002.0,16.15
Grand Theft Auto III,2001.0,13.1
Grand Theft Auto V,2014.0,11.98
Grand Theft Auto IV,2008.0,11.02
Grand Theft Auto IV,2008.0,10.57
Grand Theft Auto: Liberty City Stories,2005.0,7.72
Grand Theft Auto V,2014.0,5.08
Grand Theft Auto: Vice City Stories,2006.0,5.08
Grand Theft Auto: Liberty City Stories,2006.0,3.54
Grand Theft Auto 2,1998.0,3.42
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,2003.0,2.49
Grand Theft Auto,1997.0,2.32
Grand Theft Auto: San Andreas,2005.0,1.95
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,2003.0,1.72
Grand Theft Auto: Chinatown Wars,2009.0,1.35
Grand Theft Auto V,2015.0,1.08
Grand Theft Auto: Chinatown Wars,2009.0,1.08
Grand Theft Auto: San Andreas,2005.0,0.98
Grand Theft Auto: Vice City Stories,2007.0,0.97
Grand Theft Auto IV,2008.0,0.88
Grand Theft Auto,2004.0,0.24
Grand Theft Auto: San Andreas,2008.0,0.12
"Grand Theft Auto: Mission Pack #1, London 1969",1998.0,0.11
Grand Theft Auto: Vice City,2003.0,0.04
Grand Theft Auto III,2002.0,0.01
